LINK,NAME,LIKES,DISLIKES,LIKE RATIO,DIFFICULTY,Accepted,Submitted,Acceptance %
https://leetcode.com/problems/serialize-and-deserialize-bst,Serialize and deserialize bst,934,60,0.939637827,Medium,81625,163364,0.5
https://leetcode.com/problems/champagne-tower,Champagne tower,342,22,0.93956044,Medium,12207,34959,0.35
https://leetcode.com/problems/advantage-shuffle,Advantage shuffle,355,23,0.939153439,Medium,15538,35225,0.44
https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,Construct binary tree from preorder and postorder traversal,581,38,0.938610662,Medium,26524,41530,0.64
https://leetcode.com/problems/top-k-frequent-elements,Top k frequent elements,2197,144,0.938487826,Medium,293643,503865,0.58
https://leetcode.com/problems/cousins-in-binary-tree,Cousins in binary tree,366,24,0.938461538,Easy,35586,68398,0.52
https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array,Element appearing more than 25 in sorted array,76,5,0.938271605,Easy,7017,11613,0.6
https://leetcode.com/problems/reverse-linked-list-ii,Reverse linked list ii,1720,115,0.9373297,Medium,233492,632697,0.37
https://leetcode.com/problems/as-far-from-land-as-possible,As far from land as possible,193,13,0.936893204,Medium,9893,23908,0.41
https://leetcode.com/problems/course-schedule-ii,Course schedule ii,1459,99,0.936456996,Medium,200079,532995,0.38
https://leetcode.com/problems/counting-bits,Counting bits,1863,127,0.936180905,Medium,210929,317482,0.66
https://leetcode.com/problems/duplicate-emails,Duplicate emails,352,24,0.936170213,Easy,146874,250791,0.59
https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,Max sum of rectangle no larger than k,568,39,0.935749588,Hard,33918,94112,0.36
https://leetcode.com/problems/binary-tree-paths,Binary tree paths,1208,83,0.935708753,Easy,268745,554382,0.48
https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,Minimum swaps to make sequences increasing,740,51,0.935524652,Medium,22167,59119,0.37
https://leetcode.com/problems/number-of-longest-increasing-subsequence,Number of longest increasing subsequence,1030,71,0.93551317,Medium,39646,114449,0.35
https://leetcode.com/problems/island-perimeter,Island perimeter,1376,95,0.935418083,Easy,161405,258421,0.62
https://leetcode.com/problems/path-sum-iii,Path sum iii,2561,177,0.935354273,Easy,142670,320521,0.45
https://leetcode.com/problems/valid-palindrome-ii,Valid palindrome ii,1082,75,0.935177182,Easy,114842,322577,0.36
https://leetcode.com/problems/single-element-in-a-sorted-array,Single element in a sorted array,981,68,0.935176358,Medium,73413,127510,0.58
https://leetcode.com/problems/first-unique-character-in-a-string,First unique character in a string,1381,96,0.935003385,Easy,368669,719510,0.51
https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location,Minimum moves to move a box to their target location,126,9,0.933333333,Hard,2556,6582,0.39
https://leetcode.com/problems/3sum-closest,3sum closest,1548,111,0.933092224,Medium,411382,899883,0.46
https://leetcode.com/problems/number-of-dice-rolls-with-target-sum,Number of dice rolls with target sum,292,21,0.932907348,Medium,18277,37060,0.49
